customer_id,first_name,last_name,city_id,house_number,area_name,birth_date,age
37,Cesar,Smith,34,358,Rocky Nobel Avenue,1990-03-31,35
38,Charlene,Hartman,11,27,West Rocky Clarendon Street,1976-10-28,49
39,Sonja,Griffith,3,354,Green Fabien Street,2004-08-03,21
40,Gwendolyn,Love,22,345,Fabien Parkway,1975-01-27,50
41,Stephan,Alexander,56,85,South Nobel Avenue,1967-05-12,58
42,Maggie,Cross,80,240,New Way,1996-08-22,29
43,Earnest,Greer,40,41,White Fabien Drive,1990-12-02,34
44,Zachary,Odom,70,394,West Rocky First Drive,1990-08-27,35
45,Erin,Ward,2,372,Second Road,1987-06-19,38
46,Rodolfo,Gray,31,311,Rocky Nobel Parkway,1975-11-20,49
47,Carla,Acosta,68,241,New Boulevard,1959-04-05,66
48,Norma,Gallegos,50,400,North Milton Blvd.,1959-05-22,66
49,Jean,Lozano,52,77,New Blvd.,1978-03-15,47
50,Tara,Hernandez,72,49,Nobel Blvd.,2002-12-23,22
51,Kirsten,Hamilton,84,79,White Clarendon Blvd.,1982-05-04,43
52,Lisa,Todd,51,430,South Old St.,1957-10-30,68
53,Marie,Gamble,51,43,South White First St.,2001-05-18,24
54,Devin,Santana,30,47,Nobel Street,1968-06-18,57
55,Shaun,Singh,96,637,White Second Street,1985-09-09,40
56,Jose,Summers,95,510,First St.,1995-04-07,30
57,Tasha,Larsen,32,491,Rocky Cowley Avenue,2004-03-24,21
58,Meredith,Meza,13,85,White Cowley Boulevard,2005-11-06,19
59,Heather,Gallegos,31,286,North Second Road,2002-08-27,23
60,Sherri,Cardenas,88,689,Green Fabien Street,2001-05-10,24
61,Theodore,Santana,66,786,Rocky Milton Parkway,1961-12-17,63
62,Elton,Spencer,52,27,Clarendon Boulevard,1959-04-13,66
63,Phillip,Harvey,77,989,West Green New Parkway,1980-11-20,44
64,Raymond,Hurley,17,494,Rocky First Blvd.,1956-02-02,69
65,Alejandro,Price,9,377,Milton Avenue,1986-09-29,39
66,Kristina,Barron,71,79,White Fabien Road,1994-08-13,31
67,Chandra,Hammond,66,692,East Rocky Nobel Blvd.,1980-04-08,45
68,Allen,Hensley,29,100,Green Milton Freeway,1964-02-19,61
69,Myron,Best,50,27,White First Blvd.,2005-11-27,19
70,Lewis,Robertson,82,12,White Hague Road,2000-02-11,25
71,Laura,Ho,18,324,Oak Way,1968-08-20,57
72,Wallace,Dickson,42,457,First Freeway,1960-01-13,65
73,Johnathan,Park,43,33,New Road,2005-11-04,19
74,Dianna,Mc Cormick,54,620,Green Hague Road,1968-07-07,57
75,Jamal,Montoya,28,87,Green Clarendon St.,2001-09-14,24
76,Sharon,Morrison,51,231,South Rocky Hague Road,1958-08-21,67
77,Clifton,Bradshaw,41,21,First Avenue,1976-10-07,49
78,Sean,Stewart,91,99,Hague Boulevard,1982-02-10,43
79,Trent,Murphy,40,632,North Rocky Nobel Drive,2004-09-01,21
80,Victor,Lane,75,14,North White First Blvd.,2000-11-24,24
81,Becky,Davis,39,443,Old Avenue,1972-10-15,53
82,Chastity,Summers,82,56,Cowley Street,1981-07-27,44
83,Charlene,Dyer,61,393,Green Fabien Way,1980-03-05,45
84,Lana,Spencer,87,384,East White Clarendon Parkway,2004-01-26,21
85,Summer,Hurley,42,386,North Second Avenue,1982-07-14,43
86,Zachary,Mc Knight,14,97,Nobel Blvd.,1981-09-17,44
87,Corey,Stewart,95,31,West Milton Blvd.,2000-07-23,25
88,Olivia,Cooke,58,784,Oak Road,1964-06-12,61
89,Miriam,Sloan,9,71,East Cowley Drive,1995-05-03,30
90,Rosa,Elliott,6,90,Second Way,2002-05-11,23
91,Marci,Hampton,59,152,White Oak St.,1996-01-28,29
92,Morgan,Fox,21,96,Green Fabien Avenue,1957-02-16,68
93,Gerard,Cantrell,76,67,North Rocky Milton Boulevard,1967-11-25,57
94,Paul,Dodson,12,743,Green New Parkway,1990-04-11,35
95,Kara,Rich,53,427,Milton Freeway,1960-08-21,65
96,Shane,Bray,5,515,West Green First Avenue,1980-05-02,45
97,Stanley,Castillo,3,55,Clarendon Freeway,1991-02-01,34
98,Brendan,Herman,23,107,Clarendon Drive,1957-07-22,68
99,Tania,Chung,62,243,Second St.,1998-11-08,26
100,Victor,Doyle,28,664,White Second Freeway,1975-03-17,50
101,Abraham,Kane,61,698,Oak Drive,2000-06-16,25
102,Julius,Mccall,39,766,Milton Boulevard,1968-07-11,57
103,Jana,Huang,1,841,Hague Road,1984-11-11,40
104,Jackie,Randall,67,13,Hague Drive,1986-06-28,39
105,Susana,Lynch,55,85,East Green New Boulevard,1988-07-10,37
106,Allen,Grant,43,866,Second Drive,1997-02-04,28
107,Marisa,Bennett,8,66,West First St.,1968-08-28,57
108,Duane,Shaffer,94,48,New Parkway,1962-05-01,63
109,Elisa,Payne,2,54,Clarendon Way,1967-02-18,58
110,Lakisha,Mills,46,18,North Green Clarendon Avenue,2001-11-20,23
111,Nakia,Schaefer,55,915,East Rocky Clarendon Avenue,1963-10-03,62
112,Ginger,Hess,37,26,South Hague Drive,1975-03-01,50
113,Lloyd,House,70,320,West Green Clarendon Drive,1959-01-12,66
114,Clint,Graves,53,37,Old Freeway,1997-02-15,28
115,Trina,Ochoa,50,25,Rocky Cowley Freeway,1955-07-22,70
116,Tonia,Rose,80,248,South White Hague Drive,1958-02-05,67
117,Neal,Burnett,87,71,New Drive,2005-03-10,20
118,Bethany,Rivera,86,943,New Avenue,1971-12-17,53
119,Casey,Smith,72,615,Green Second Drive,1975-03-03,50
120,Lindsay,Jordan,91,91,North First St.,1989-05-16,36
121,Rebekah,Hancock,73,944,East Old St.,1980-10-10,45
122,Mathew,Hammond,8,396,Nobel Street,1962-10-26,63
123,Mitchell,Nixon,20,748,Clarendon Drive,1963-05-28,62
124,Jesus,Humphrey,44,729,West Clarendon Blvd.,1967-12-29,57
125,Everett,Yoder,23,519,New Drive,2004-08-27,21
126,Pete,Mathews,94,796,South Milton Way,1957-02-28,68
127,Stacy,Lutz,63,89,Clarendon Parkway,2003-01-31,22
128,Howard,Trujillo,32,26,Hague Blvd.,1984-05-15,41
129,Ted,Hahn,1,123,West White Oak Street,1989-05-30,36
130,Ray,Wyatt,24,33,White New Road,1994-08-03,31
131,Sheryl,Perry,48,143,Green Hague Street,1958-05-31,67
132,John,Gonzalez,18,13,Green Hague Street,1968-01-20,57
133,Karl,Dunn,29,797,Second Boulevard,1983-04-27,42
134,Tabitha,Khan,13,37,First Blvd.,1959-01-16,66
135,Vicki,Larsen,14,34,Oak Road,1998-12-29,26
136,Phillip,Montgomery,96,59,Green Hague Way,1962-07-17,63
137,Jeannette,Tapia,82,468,East Clarendon Boulevard,1987-12-21,37
138,Guillermo,Butler,90,486,Green First Parkway,1992-11-04,33
139,Chasity,Odom,33,35,North Green Oak Drive,1968-02-16,57
140,Cheri,Villarreal,96,46,Cowley Blvd.,1965-01-07,60
141,Tonia,Booker,7,288,Green Cowley Boulevard,2002-04-19,23
142,Ray,Clayton,1,694,East Green Hague Blvd.,1968-04-24,57
143,Gregory,Pugh,57,74,Oak Road,1982-11-28,42
144,Dianna,Kirby,60,208,White Hague St.,1958-10-11,67
145,Cody,Blake,47,236,New Street,1986-03-27,39
146,Melanie,Whitney,23,498,Cowley Street,1976-06-23,49
147,Tamiko,Doyle,48,71,West Cowley Street,1978-07-09,47
148,Darrick,Kirby,24,480,Oak Drive,1994-09-16,31
149,Monica,Fleming,58,63,East Green Clarendon Avenue,1994-08-21,31
150,Ashley,Pope,70,64,First Street,1964-07-10,61
151,Brady,Reese,14,474,Green Clarendon Freeway,1959-02-19,66
152,Miguel,Watson,13,13,South Green New Street,1959-06-20,66
153,Danny,Herman,48,501,West First Way,1957-07-04,68
154,Omar,Weeks,68,75,Hague St.,1969-12-05,55
155,Latoya,Mc Lean,52,60,West Rocky New Freeway,1959-07-16,66
156,Joan,Castro,53,490,North White Hague Road,2001-11-06,23
157,Demond,Brandt,20,85,Old Way,1985-06-08,40
158,Demetrius,Ramirez,53,438,Milton Avenue,1966-02-25,59
159,Abigail,Mullen,45,628,Cowley Blvd.,2001-02-08,24
160,Nathan,Glenn,57,44,Rocky Milton Street,1955-03-24,70
161,Sandra,Elliott,76,82,South Milton Boulevard,1967-05-08,58
162,Erika,Randall,72,125,White Old Parkway,1979-11-19,45
163,Armando,Wu,93,186,Cowley Road,1979-06-05,46
164,Darius,Bridges,75,586,West Green Fabien St.,1959-11-27,65
165,Preston,Kelly,95,745,First St.,1991-12-14,33
166,Erik,Rangel,37,471,White Milton Avenue,1992-04-21,33
167,Antonio,Benson,8,189,South Second Avenue,1958-03-05,67
168,Kristina,Kim,57,284,Rocky Clarendon Way,1979-12-29,45
169,Casey,Glass,39,11,South Green Oak Boulevard,1962-03-27,63
170,Armando,Lucas,50,332,Second Blvd.,1989-08-12,36
171,Marla,Watts,95,38,White Clarendon Street,1978-12-02,46
172,Billie,Fischer,93,908,First Way,1991-06-13,34
173,Jonathon,Reynolds,54,801,East Rocky Oak Drive,1982-07-25,43
174,Diane,Quinn,73,37,North Fabien Road,1956-01-11,69
175,Emily,Duncan,84,68,Green First Road,1990-11-21,34
176,Jonathon,Brooks,72,749,West Fabien St.,1994-03-05,31
177,Laura,Grimes,48,91,White Hague Drive,1970-06-29,55
178,Roxanne,Wade,56,42,White Clarendon Drive,1978-02-20,47
179,Gene,Morrison,94,35,First Way,1990-03-28,35
180,Arnold,House,1,585,Rocky Cowley Boulevard,1995-07-31,30
181,Zachary,Matthews,47,216,North Old St.,1998-07-10,27
182,Jacob,Webster,40,388,Oak Street,1995-12-10,29
183,Jason,Dunn,70,481,Rocky Hague Street,1977-10-06,48
184,Brian,Neal,28,622,Old Boulevard,1965-02-14,60
185,Helen,Cunningham,10,154,Cowley Blvd.,1959-06-03,66
186,Ralph,Lopez,35,530,Cowley Way,1985-02-17,40
187,Holly,Wong,67,625,Nobel Boulevard,1971-04-04,54
188,Stanley,Sherman,58,92,Rocky Cowley Drive,1993-02-11,32
189,Leon,Costa,58,698,Rocky Old Freeway,1975-04-18,50
190,Staci,Barber,57,726,Green Fabien Drive,1992-08-28,33
191,Kimberly,Baldwin,77,167,South Oak Parkway,1984-06-06,41
192,Candice,Mayer,29,645,West Old Parkway,2003-07-02,22
193,Mike,Munoz,46,96,East Green New Drive,1996-04-23,29
194,David,Watts,72,67,Rocky Hague Boulevard,2005-06-06,20
195,Allan,Molina,20,78,Fabien Boulevard,2002-06-26,23
196,Andrea,Barker,32,856,White Second Street,2005-11-23,19
197,Albert,Rosario,5,353,New St.,1994-05-08,31
198,Todd,Franklin,79,169,Clarendon Way,1968-12-18,56
199,Miranda,Morton,61,93,Rocky New Freeway,1989-12-19,35
200,Rene,Mercado,11,76,East Green Clarendon Avenue,1972-05-16,53
201,Desiree,Farrell,15,454,Oak Blvd.,1971-02-02,54
202,Andrea,Delgado,87,70,Old Freeway,1990-05-22,35
203,Alisa,Mc Millan,81,20,Green New Avenue,1961-04-07,64
204,Jose,Campbell,9,45,First Drive,1960-05-26,65
205,Misty,Holmes,71,76,Oak Freeway,1961-10-17,64
206,Edward,Ferrell,17,64,Milton Freeway,1957-02-09,68
207,Amelia,Esparza,56,79,East Milton Road,1968-07-17,57
208,Micah,Marquez,72,626,Hague Freeway,1981-11-25,43
209,Wallace,Flowers,80,687,South Oak St.,1985-07-28,40
210,Sonya,Stafford,76,99,North Cowley St.,1958-04-18,67
211,Kristie,Massey,6,13,Clarendon Blvd.,1990-09-25,35
212,Tamika,Bradford,60,51,South Green First Avenue,1957-10-04,68
213,Carmen,Crosby,56,904,New Freeway,1969-11-20,55
214,Linda,Powell,45,97,Old Street,1970-09-10,55
215,Sheri,Goodman,11,39,North Hague Avenue,1966-02-21,59
216,Antoine,Reilly,37,92,North Oak Blvd.,1980-03-22,45
217,Tasha,Navarro,2,39,Nobel Boulevard,1986-06-08,39
218,Kerrie,Mann,65,25,Second Avenue,1987-08-22,38
219,Rachelle,Chandler,65,919,West Rocky Old Parkway,1960-11-06,65
220,Warren,Turner,61,40,West Hague Street,1956-09-10,69
221,Patrick,Buchanan,67,894,New Drive,1955-12-12,69
222,Norman,Mcpherson,46,58,Green Second St.,1957-08-29,68
223,Bryant,Lane,96,24,Fabien Avenue,1976-11-20,48
224,Hilary,Fitzgerald,79,150,New Avenue,1986-07-20,39
225,Marco,Beltran,70,73,Clarendon Drive,1975-04-03,50
226,Andy,Ochoa,67,26,South Rocky New Way,1976-01-09,49
227,Keith,Pierce,48,30,West Green Old Street,1992-12-01,32
228,Joy,Mcfarland,79,370,Cowley Avenue,1983-08-21,42
229,Jim,Esparza,53,690,East White First Freeway,1976-09-24,49
230,Elaine,Hayden,53,26,White Fabien St.,1972-10-03,53
231,Angelo,Perkins,67,67,White Milton Avenue,1999-08-14,26
232,Sandy,Moss,66,65,South Rocky Cowley Avenue,1959-12-19,65
233,Evan,Huynh,91,92,West Nobel Drive,1964-12-17,60
234,Micah,Collier,83,13,Second Parkway,1976-03-09,49
235,Rafael,Herrera,82,558,East Rocky Cowley Avenue,1956-01-05,69
236,Charlene,Baird,57,994,Rocky Cowley Street,1999-06-18,26
237,Grace,Vincent,55,88,South White Second Drive,1958-03-03,67
238,Tera,Henry,62,355,Rocky Milton Way,1956-08-22,69
239,Malcolm,Patel,54,45,North First Avenue,1962-03-04,63
240,Efrain,Perkins,90,32,Rocky Old Boulevard,2005-09-21,20
241,James,Torres,76,364,South Nobel Blvd.,1996-05-28,29
242,Amelia,Daugherty,91,227,West Rocky Milton Boulevard,2005-12-26,19
243,Stephen,Krueger,75,19,Green Old Parkway,1961-02-23,64
244,Ray,Lane,78,36,Clarendon Road,1958-01-22,67
245,Sam,Crosby,52,61,White First Street,2003-04-13,22
246,Valerie,Mcintosh,17,110,Rocky First Blvd.,1988-05-18,37
247,Justin,Bright,69,232,Clarendon Avenue,1956-11-13,69
248,Angelique,Burns,2,181,West Cowley St.,1977-06-26,48
249,Marianne,Mccann,62,53,Milton Freeway,1973-06-29,52
250,Robin,Kane,79,14,Clarendon Drive,2002-08-28,23
251,Caleb,Zavala,30,643,Rocky Second Avenue,1973-02-10,52
252,Carlos,Cochran,37,38,Clarendon Drive,1978-07-20,47
253,Roderick,Friedman,15,496,North Nobel Freeway,1996-08-19,29
254,Angela,Norman,1,806,North First Freeway,1977-05-05,48
255,Angie,Duncan,40,971,Green Old Avenue,1995-07-09,30
256,Kerrie,Snow,65,380,Fabien Street,1966-11-28,58
257,Mark,Richardson,88,128,Green Clarendon Street,1959-08-24,66
258,Randy,Webster,3,672,West Oak Parkway,1981-03-20,44
259,Aimee,Ruiz,36,810,Old St.,1989-07-11,36
260,Kimberley,Harrell,5,281,Green New Street,1972-10-11,53
261,Damian,Boyle,66,81,Clarendon Blvd.,1956-04-20,69
262,Phillip,Spencer,74,805,South Cowley St.,2003-12-10,21
263,Kristy,Quinn,19,65,South Clarendon Street,1999-01-23,26
264,Virgil,Small,27,758,New Parkway,1969-10-16,56
265,Monica,Tyler,10,76,North Rocky Nobel Way,1977-01-08,48
266,Marcella,Fernandez,37,681,West Hague Blvd.,1963-03-26,62
267,Aaron,Donovan,65,63,Cowley Boulevard,1987-01-22,38
268,Dallas,Garrett,69,70,Rocky Nobel Avenue,1970-10-24,55
269,Bethany,Mccann,59,700,Milton St.,1988-12-01,36
270,April,Clarke,50,815,Fabien Freeway,1965-08-29,60
271,Stephanie,Moreno,78,515,Fabien Street,1983-12-02,41
272,Constance,Montgomery,36,18,First Freeway,1993-09-10,32
273,Randal,Ryan,12,791,North Nobel Road,1957-03-21,68
274,Gerard,Rose,71,894,Hague Drive,1958-12-04,66
275,Janice,Key,82,150,First Road,1955-10-22,70
276,Dina,Gallegos,72,28,East Clarendon Way,1977-05-03,48
277,Carlos,Parker,68,43,Cowley Freeway,1956-07-27,69
278,Andrew,Smith,18,267,First Way,1983-07-15,42
279,Bobbi,Kirk,27,76,West Oak Parkway,1983-08-17,42
280,Timothy,Webb,53,50,Old St.,1966-07-26,59
281,Henry,Weiss,94,10,East Nobel Way,2002-12-31,22
282,Ronnie,Roberts,46,80,West Second Drive,1996-11-14,28
283,Krista,Mullen,17,698,North White Nobel Avenue,1988-03-08,37
284,Douglas,Neal,71,35,Old Parkway,1959-08-18,66
285,Jeannie,Haas,23,79,Clarendon Road,1996-07-09,29
286,Teri,Kemp,31,95,Milton Parkway,1993-05-10,32
287,Gwendolyn,Nicholson,51,908,Fabien Parkway,1985-06-28,40
288,Serena,Vaughn,91,68,East Clarendon St.,1995-04-16,30
289,April,Fletcher,43,211,Rocky New Avenue,1994-03-24,31
290,Melinda,Hogan,17,751,Hague Parkway,2004-10-10,21
291,Lance,Frye,66,21,Clarendon Blvd.,1996-06-28,29
292,Robyn,Hawkins,53,191,Milton Drive,2003-04-06,22
293,Lisa,Thomas,27,97,Hague Drive,2003-06-13,22
294,Marla,Nicholson,49,616,Rocky Clarendon Boulevard,1993-06-25,32
295,Alissa,Brady,24,282,Milton Avenue,1991-04-24,34
296,Melvin,Frye,2,751,South Hague Avenue,1959-11-25,65
297,Rex,Wilkins,73,58,West Rocky Hague Avenue,1964-10-02,61
298,Aaron,Weaver,49,635,Green Old Street,1968-04-11,57
299,Randi,Kent,69,742,Clarendon Avenue,1976-05-10,49
300,Katherine,Camacho,15,800,Fabien Parkway,1987-07-11,38
301,Jessie,Mc Knight,48,79,West Cowley Parkway,1970-05-05,55
302,Jenna,Gaines,96,597,White First Avenue,2003-07-24,22
303,Jeannie,Harper,40,384,Green Cowley Boulevard,1966-04-15,59
304,Donnell,Saunders,12,489,East Fabien Parkway,1999-12-23,25
305,Norman,Bowers,2,22,Hague Freeway,1956-11-28,68
306,Damion,Stafford,91,51,White Old Street,2002-06-22,23
307,Nichole,Terry,26,717,East White Second Way,1991-04-22,34
308,Monique,Vance,40,441,Rocky Hague Freeway,1992-10-01,33
309,Nicole,Harrington,16,44,Clarendon Avenue,1993-04-17,32
310,Guillermo,Mc Dowell,65,771,White New Avenue,1973-09-17,52
311,Heather,Kane,94,490,Second Boulevard,2004-06-25,21
312,Larry,Richardson,70,118,First Boulevard,1998-07-26,27
313,Brent,Gould,72,42,White First Blvd.,1963-10-12,62
314,Juanita,Bright,79,51,Nobel Blvd.,1963-08-03,62
315,Nick,Hamilton,7,67,East Fabien Street,1991-10-09,34
316,Shaun,Ellison,21,390,New Road,1989-04-12,36
317,Audrey,Parks,57,802,South Cowley Drive,1998-02-19,27
318,Danielle,Edwards,45,41,North Milton Road,1985-04-23,40
319,Amelia,Sloan,4,83,North Second St.,1962-07-21,63
320,Laura,Pennington,76,396,East Rocky First Avenue,1969-10-11,56
321,Molly,Salas,82,660,Clarendon Drive,1961-06-07,64
322,Stacy,Floyd,71,81,White Milton Boulevard,1972-12-23,52
323,Albert,Booker,27,234,West Old Drive,1995-11-03,30
324,Margarita,Wolf,42,30,Green New Parkway,2004-04-29,21
325,Jeannie,Dalton,81,739,White Old Drive,1967-05-10,58
326,Dante,Chaney,26,675,Cowley Road,1994-12-25,30
327,Marvin,Jacobs,10,132,Old Avenue,1997-06-18,28
328,Rick,Brennan,59,77,New Way,1996-11-28,28
329,Alejandro,Gillespie,47,694,Hague Avenue,1970-12-09,54
330,Hannah,Washington,80,62,Milton Street,1990-09-14,35
331,Sidney,Jackson,96,89,Second Way,1959-07-10,66
332,Betty,Horne,20,524,White Old Avenue,1982-08-18,43
333,Vickie,Bowman,46,98,Cowley Drive,1963-12-24,61
334,Reginald,Duke,12,48,Green Second Blvd.,1972-12-23,52
335,Dominick,Palmer,6,703,Milton St.,1978-03-08,47
336,Lora,Cantu,95,33,Nobel Road,1957-05-14,68
337,Carey,Dunlap,7,27,Rocky Oak Drive,1966-07-14,59
338,Sarah,Wolf,6,804,East Old Blvd.,1957-12-17,67
339,Jeanette,Haley,69,73,Milton Avenue,1963-03-11,62
340,Wendy,Dean,29,66,First Road,2002-09-08,23
341,Danielle,Espinoza,5,206,North Milton Drive,1963-06-17,62
342,Thomas,Crane,12,50,White Fabien Way,1988-09-05,37
343,Tommy,Benjamin,75,17,White Clarendon St.,1975-09-27,50
344,Alan,Mosley,75,99,Fabien Avenue,1956-08-29,69
345,Carmen,Mckay,20,50,South Rocky Old Avenue,1970-03-26,55
346,Joe,Galvan,92,441,East Old Freeway,1955-01-08,70
347,Sherrie,Dawson,77,94,Cowley Street,1990-12-31,34
348,Julian,Lee,45,837,Green Hague Way,1955-02-11,70
349,Gena,Wolf,43,68,Nobel Way,1960-02-04,65
350,Arlene,Humphrey,4,776,Rocky Nobel St.,1984-11-03,41
351,Katina,Morrow,42,273,North Green Cowley Parkway,2001-01-10,24
352,Jodi,Conner,28,672,Cowley Blvd.,1955-03-30,70
353,Melissa,Miranda,45,218,Rocky Second Boulevard,1967-08-28,58
354,David,Andersen,89,68,East Green Old Boulevard,1988-08-26,37
355,Kristie,Ferrell,30,870,North New Street,1973-09-18,52
356,Leon,Stokes,74,991,New Drive,1970-06-25,55
357,Darlene,Rush,70,704,Fabien Boulevard,1988-05-19,37
358,Jeanne,Walls,94,83,White Oak Parkway,1996-05-24,29
359,Esmeralda,Raymond,27,57,Fabien Boulevard,1974-12-14,50
360,Sabrina,Flynn,72,649,Fabien St.,1988-08-26,37
361,Levi,Osborne,81,62,West Green Milton Boulevard,1989-10-09,36
362,Nicholas,Shannon,64,41,White Hague Freeway,1975-12-10,49
363,Angelo,Werner,89,106,Second Boulevard,1983-10-31,42
364,Myra,Mc Daniel,33,13,Clarendon Way,1957-09-04,68
365,Marcie,Melton,65,767,Oak Blvd.,1991-12-13,33
366,Claire,Livingston,75,92,Rocky New Drive,1974-11-08,51
367,Kristy,Pace,24,99,North Oak Boulevard,1997-11-10,27
368,Kathryn,Brandt,60,747,White First Freeway,1995-09-22,30
369,Kerrie,Meza,73,253,White Oak Road,1967-04-07,58
370,Caroline,Shelton,9,68,East Green Second Blvd.,1972-07-13,53
371,Andrew,Zavala,15,113,Hague Road,1964-02-11,61
372,Trina,Donaldson,52,37,Second Boulevard,1974-12-05,50
373,Cody,Dunn,72,913,East First Blvd.,1980-11-07,45
374,Ruth,Lindsey,72,35,Fabien Drive,1959-10-05,66
375,Adrienne,Molina,71,375,South Clarendon Boulevard,2000-03-16,25
376,Abraham,Michael,70,10,North Cowley Parkway,1966-05-18,59
377,Audrey,Dickerson,92,358,Clarendon Drive,1957-09-16,68
378,Joanna,Bradley,48,39,East Old Boulevard,1964-11-18,60
379,Chad,Skinner,22,224,Green Cowley St.,1986-09-09,39
380,Lee,Bautista,85,213,Rocky Nobel Blvd.,1986-03-14,39
381,Frances,Roy,45,63,South Green First Street,1960-10-25,65
382,Amie,Carpenter,61,21,North Cowley Freeway,1971-05-17,54
383,Gerard,Richards,16,69,South New Drive,1974-09-30,51
384,Tiffany,Henderson,44,416,South Clarendon Drive,2002-12-30,22
385,Noel,Farrell,38,322,North Green Clarendon Blvd.,2003-04-26,22
386,Kari,Carson,68,67,North White Oak Boulevard,1983-08-10,42
387,Demond,Hubbard,71,16,Hague Avenue,1966-04-23,59
388,Richard,Frazier,54,242,West White Second Parkway,1995-05-16,30
389,Ruby,Fritz,79,86,Second Freeway,1971-06-14,54
390,Nakia,Baxter,28,75,Oak Road,2001-08-28,24
391,Melinda,Hatfield,25,27,East White Oak Way,1989-07-15,36
392,Darin,Thompson,9,625,Green Milton Blvd.,1999-05-19,26
393,Forrest,Bond,75,886,North Nobel Parkway,1970-01-27,55
394,Ralph,Chandler,94,834,Green Milton Freeway,1982-09-21,43
395,Edith,Mahoney,44,30,Clarendon Way,2002-01-29,23
396,Olga,Ware,38,902,Rocky New Way,1969-02-09,56
397,Lesley,Proctor,19,46,Second Avenue,1988-11-30,36
398,Kerri,Bryan,43,342,New Boulevard,1968-11-05,57
399,Kimberley,Reed,10,244,Hague Freeway,1973-05-17,52
400,Ronald,Long,42,41,Cowley Drive,1970-05-28,55
401,Demetrius,Cooley,69,703,West Nobel Avenue,2003-12-13,21
402,Ericka,French,17,22,Rocky Fabien Avenue,1967-01-27,58
403,Marla,Tran,68,131,South Milton Blvd.,1970-07-29,55
404,Brandon,Wallace,34,529,Milton Blvd.,2002-01-10,23
405,Frankie,Conway,86,86,White Cowley Avenue,2003-01-18,22
406,Erick,Wiggins,86,600,West White First Way,1988-05-30,37
407,Kathy,Alvarado,53,950,White Second Avenue,1966-01-17,59
408,Marvin,Terrell,70,975,West Green Old Parkway,1973-02-12,52
409,Kendall,Short,18,720,North Clarendon Street,1976-06-29,49
410,Marc,Spencer,56,49,East Green Clarendon Drive,1977-11-17,47
411,Daniel,Stanton,78,791,First Road,2000-07-23,25
412,Erica,Berg,23,737,Green Nobel St.,1965-06-21,60
413,Jami,Larson,72,62,Milton Road,1963-08-09,62
414,Maggie,Lutz,38,13,First Drive,1992-01-19,33
415,Bradford,Rubio,27,429,Nobel Boulevard,1987-01-06,38
416,Molly,Jensen,21,407,Clarendon Blvd.,1994-01-02,31
417,Marlene,Gibbs,48,917,Second Avenue,1981-01-12,44
418,Joanna,Shah,46,88,North First Freeway,2000-01-22,25
419,Vernon,Knox,91,80,North Green Second Drive,1955-11-24,69
420,Austin,Butler,94,747,Fabien Street,1978-09-26,47
421,Shelly,Schwartz,4,473,Oak Drive,1997-01-22,28
